bench,bpred,size,metric,value
fpppp,bimod,128KB,bpred_addr_rate,0.7770
fpppp,bimod,128KB,divide,by,zero>
fpppp,bimod,16KB,bpred_addr_rate,0.7770
fpppp,bimod,16KB,divide,by,zero>
fpppp,bimod,1MB,bpred_addr_rate,0.7770
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,256KB,bpred_addr_rate,0.7770
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,32KB,bpred_addr_rate,0.7770
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,512KB,bpred_addr_rate,0.7770
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,64KB,bpred_addr_rate,0.7770
fpppp,bimod,64KB,divide,by,zero>
gcc,bimod,128KB,bpred_addr_rate,0.8880
gcc,bimod,128KB,reverse_bpred_addr_rate,0.0583
gcc,bimod,16KB,bpred_addr_rate,0.8833
gcc,bimod,16KB,reverse_bpred_addr_rate,0.0583
gcc,bimod,1MB,bpred_addr_rate,0.8881
gcc,bimod,1MB,reverse_bpred_addr_rate,0.0583
gcc,bimod,256KB,bpred_addr_rate,0.8881
gcc,bimod,256KB,reverse_bpred_addr_rate,0.0583
gcc,bimod,32KB,bpred_addr_rate,0.8842
gcc,bimod,32KB,reverse_bpred_addr_rate,0.0583
gcc,bimod,512KB,bpred_addr_rate,0.8881
gcc,bimod,512KB,reverse_bpred_addr_rate,0.0583
gcc,bimod,64KB,bpred_addr_rate,0.8877
gcc,bimod,64KB,reverse_bpred_addr_rate,0.0583
go,bimod,128KB,bpred_addr_rate,0.9120
go,bimod,128KB,reverse_bpred_addr_rate,0.1032
go,bimod,16KB,bpred_addr_rate,0.9114
go,bimod,16KB,reverse_bpred_addr_rate,0.1032
go,bimod,1MB,bpred_addr_rate,0.9120
go,bimod,1MB,reverse_bpred_addr_rate,0.1032
go,bimod,256KB,bpred_addr_rate,0.9120
go,bimod,256KB,reverse_bpred_addr_rate,0.1032
go,bimod,32KB,bpred_addr_rate,0.9119
go,bimod,32KB,reverse_bpred_addr_rate,0.1032
go,bimod,512KB,bpred_addr_rate,0.9120
go,bimod,512KB,reverse_bpred_addr_rate,0.1032
go,bimod,64KB,bpred_addr_rate,0.9120
go,bimod,64KB,reverse_bpred_addr_rate,0.1032
ijpeg,bimod,128KB,bpred_addr_rate,0.9998
ijpeg,bimod,128KB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,16KB,bpred_addr_rate,0.9998
ijpeg,bimod,16KB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,1MB,bpred_addr_rate,0.9998
ijpeg,bimod,1MB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,256KB,bpred_addr_rate,0.9998
ijpeg,bimod,256KB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,32KB,bpred_addr_rate,0.9998
ijpeg,bimod,32KB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,512KB,bpred_addr_rate,0.9998
ijpeg,bimod,512KB,reverse_bpred_addr_rate,0.0000
ijpeg,bimod,64KB,bpred_addr_rate,0.9998
ijpeg,bimod,64KB,reverse_bpred_addr_rate,0.0000
li,bimod,128KB,bpred_addr_rate,0.9072
li,bimod,128KB,reverse_bpred_addr_rate,0.0850
li,bimod,16KB,bpred_addr_rate,0.9072
li,bimod,16KB,reverse_bpred_addr_rate,0.0850
li,bimod,1MB,bpred_addr_rate,0.9072
li,bimod,1MB,reverse_bpred_addr_rate,0.0850
li,bimod,256KB,bpred_addr_rate,0.9072
li,bimod,256KB,reverse_bpred_addr_rate,0.0850
li,bimod,32KB,bpred_addr_rate,0.9072
li,bimod,32KB,reverse_bpred_addr_rate,0.0850
li,bimod,512KB,bpred_addr_rate,0.9072
li,bimod,512KB,reverse_bpred_addr_rate,0.0850
li,bimod,64KB,bpred_addr_rate,0.9072
li,bimod,64KB,reverse_bpred_addr_rate,0.0850
m88ksim,bimod,128KB,bpred_addr_rate,0.9128
m88ksim,bimod,128KB,divide,by,zero>
m88ksim,bimod,16KB,bpred_addr_rate,0.9128
m88ksim,bimod,16KB,divide,by,zero>
m88ksim,bimod,1MB,bpred_addr_rate,0.9128
m88ksim,bimod,1MB,divide,by,zero>
m88ksim,bimod,256KB,bpred_addr_rate,0.9128
m88ksim,bimod,256KB,divide,by,zero>
m88ksim,bimod,32KB,bpred_addr_rate,0.9128
m88ksim,bimod,32KB,divide,by,zero>
m88ksim,bimod,512KB,bpred_addr_rate,0.9128
m88ksim,bimod,512KB,divide,by,zero>
m88ksim,bimod,64KB,bpred_addr_rate,0.9128
m88ksim,bimod,64KB,divide,by,zero>
perl,bimod,128KB,bpred_addr_rate,0.9170
perl,bimod,128KB,reverse_bpred_addr_rate,0.0666
perl,bimod,16KB,bpred_addr_rate,0.9170
perl,bimod,16KB,reverse_bpred_addr_rate,0.0666
perl,bimod,1MB,bpred_addr_rate,0.9170
perl,bimod,1MB,reverse_bpred_addr_rate,0.0666
perl,bimod,256KB,bpred_addr_rate,0.9170
perl,bimod,256KB,reverse_bpred_addr_rate,0.0666
perl,bimod,32KB,bpred_addr_rate,0.9170
perl,bimod,32KB,reverse_bpred_addr_rate,0.0666
perl,bimod,512KB,bpred_addr_rate,0.9170
perl,bimod,512KB,reverse_bpred_addr_rate,0.0666
perl,bimod,64KB,bpred_addr_rate,0.9170
perl,bimod,64KB,reverse_bpred_addr_rate,0.0666
vortex,bimod,128KB,bpred_addr_rate,0.9279
