results/fpppp_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.7738 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.7714 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.7745 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.7739 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.7724 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.7738 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.7732 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.9355 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.9309 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.9352 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.9363 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.9334 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.9358 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.9355 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.9145 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.9121 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.9139 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.9138 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.9135 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.9141 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.9152 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.8779 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.8819 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.8838 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.8746 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.8805 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.8709 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.8801 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.6424 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_128KB.txt:bpred_2lev.bpred_jr_rate    0.8651 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_16KB.txt:bpred_2lev.bpred_jr_rate    0.8718 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_1MB.txt:bpred_2lev.bpred_jr_rate    0.8669 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_256KB.txt:bpred_2lev.bpred_jr_rate    0.8693 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_32KB.txt:bpred_2lev.bpred_jr_rate    0.8747 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_512KB.txt:bpred_2lev.bpred_jr_rate    0.8617 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_gshare_64KB.txt:bpred_2lev.bpred_jr_rate    0.8715 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
