results/fpppp_tsbp_init_1s_128KB.txt:bpred_tsbp.ras_rate.PP    0.8019 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_16KB.txt:bpred_tsbp.ras_rate.PP    0.8406 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_1MB.txt:bpred_tsbp.ras_rate.PP    0.8309 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_256KB.txt:bpred_tsbp.ras_rate.PP    0.8068 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_32KB.txt:bpred_tsbp.ras_rate.PP    0.8406 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_512KB.txt:bpred_tsbp.ras_rate.PP    0.8068 # RAS prediction rate (i.e., RAS hits/used RAS)
results/fpppp_tsbp_init_1s_64KB.txt:bpred_tsbp.ras_rate.PP    0.8068 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_128KB.txt:bpred_tsbp.ras_rate.PP    0.9659 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_16KB.txt:bpred_tsbp.ras_rate.PP    0.9627 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_1MB.txt:bpred_tsbp.ras_rate.PP    0.9664 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_256KB.txt:bpred_tsbp.ras_rate.PP    0.9672 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_32KB.txt:bpred_tsbp.ras_rate.PP    0.9641 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_512KB.txt:bpred_tsbp.ras_rate.PP    0.9666 # RAS prediction rate (i.e., RAS hits/used RAS)
results/gcc_tsbp_init_1s_64KB.txt:bpred_tsbp.ras_rate.PP    0.9649 # RAS prediction rate (i.e., RAS hits/used RAS)
