bench,bpred,size,metric,value
fpppp,gshare,128KB,bpred_addr_rate,0.6423
fpppp,gshare,128KB,divide,by,zero>
fpppp,gshare,16KB,bpred_addr_rate,0.6527
fpppp,gshare,16KB,divide,by,zero>
fpppp,gshare,1MB,bpred_addr_rate,0.6285
fpppp,gshare,1MB,divide,by,zero>
fpppp,gshare,256KB,bpred_addr_rate,0.6352
fpppp,gshare,256KB,divide,by,zero>
fpppp,gshare,32KB,bpred_addr_rate,0.6514
fpppp,gshare,32KB,divide,by,zero>
fpppp,gshare,512KB,bpred_addr_rate,0.6329
fpppp,gshare,512KB,divide,by,zero>
fpppp,gshare,64KB,bpred_addr_rate,0.6467
fpppp,gshare,64KB,divide,by,zero>
gcc,gshare,128KB,bpred_addr_rate,0.8907
gcc,gshare,128KB,reverse_bpred_addr_rate,0.0583
gcc,gshare,16KB,bpred_addr_rate,0.8659
gcc,gshare,16KB,reverse_bpred_addr_rate,0.0583
gcc,gshare,1MB,bpred_addr_rate,0.8970
gcc,gshare,1MB,reverse_bpred_addr_rate,0.0583
gcc,gshare,256KB,bpred_addr_rate,0.8944
gcc,gshare,256KB,reverse_bpred_addr_rate,0.0583
gcc,gshare,32KB,bpred_addr_rate,0.8750
gcc,gshare,32KB,reverse_bpred_addr_rate,0.0583
gcc,gshare,512KB,bpred_addr_rate,0.8964
gcc,gshare,512KB,reverse_bpred_addr_rate,0.0583
gcc,gshare,64KB,bpred_addr_rate,0.8843
gcc,gshare,64KB,reverse_bpred_addr_rate,0.0583
go,gshare,128KB,bpred_addr_rate,0.9217
go,gshare,128KB,reverse_bpred_addr_rate,0.1032
go,gshare,16KB,bpred_addr_rate,0.9011
go,gshare,16KB,reverse_bpred_addr_rate,0.1032
go,gshare,1MB,bpred_addr_rate,0.9233
go,gshare,1MB,reverse_bpred_addr_rate,0.1032
go,gshare,256KB,bpred_addr_rate,0.9229
go,gshare,256KB,reverse_bpred_addr_rate,0.1032
go,gshare,32KB,bpred_addr_rate,0.9104
go,gshare,32KB,reverse_bpred_addr_rate,0.1032
go,gshare,512KB,bpred_addr_rate,0.9238
go,gshare,512KB,reverse_bpred_addr_rate,0.1032
go,gshare,64KB,bpred_addr_rate,0.9172
go,gshare,64KB,reverse_bpred_addr_rate,0.1032
ijpeg,gshare,128KB,bpred_addr_rate,0.9998
ijpeg,gshare,128KB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,16KB,bpred_addr_rate,0.9998
ijpeg,gshare,16KB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,1MB,bpred_addr_rate,0.9998
ijpeg,gshare,1MB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,256KB,bpred_addr_rate,0.9998
ijpeg,gshare,256KB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,32KB,bpred_addr_rate,0.9998
ijpeg,gshare,32KB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,512KB,bpred_addr_rate,0.9998
ijpeg,gshare,512KB,reverse_bpred_addr_rate,0.0000
ijpeg,gshare,64KB,bpred_addr_rate,0.9998
ijpeg,gshare,64KB,reverse_bpred_addr_rate,0.0000
li,gshare,128KB,bpred_addr_rate,0.9517
li,gshare,128KB,reverse_bpred_addr_rate,0.0850
li,gshare,16KB,bpred_addr_rate,0.9469
li,gshare,16KB,reverse_bpred_addr_rate,0.0850
li,gshare,1MB,bpred_addr_rate,0.9530
li,gshare,1MB,reverse_bpred_addr_rate,0.0850
li,gshare,256KB,bpred_addr_rate,0.9519
li,gshare,256KB,reverse_bpred_addr_rate,0.0850
li,gshare,32KB,bpred_addr_rate,0.9485
li,gshare,32KB,reverse_bpred_addr_rate,0.0850
li,gshare,512KB,bpred_addr_rate,0.9525
li,gshare,512KB,reverse_bpred_addr_rate,0.0850
li,gshare,64KB,bpred_addr_rate,0.9512
li,gshare,64KB,reverse_bpred_addr_rate,0.0850
m88ksim,gshare,128KB,bpred_addr_rate,0.9319
m88ksim,gshare,128KB,divide,by,zero>
m88ksim,gshare,16KB,bpred_addr_rate,0.9259
m88ksim,gshare,16KB,divide,by,zero>
m88ksim,gshare,1MB,bpred_addr_rate,0.9309
m88ksim,gshare,1MB,divide,by,zero>
m88ksim,gshare,256KB,bpred_addr_rate,0.9319
m88ksim,gshare,256KB,divide,by,zero>
m88ksim,gshare,32KB,bpred_addr_rate,0.9324
m88ksim,gshare,32KB,divide,by,zero>
m88ksim,gshare,512KB,bpred_addr_rate,0.9308
m88ksim,gshare,512KB,divide,by,zero>
m88ksim,gshare,64KB,bpred_addr_rate,0.9325
m88ksim,gshare,64KB,divide,by,zero>
perl,gshare,128KB,bpred_addr_rate,0.9372
perl,gshare,128KB,reverse_bpred_addr_rate,0.0666
perl,gshare,16KB,bpred_addr_rate,0.9343
perl,gshare,16KB,reverse_bpred_addr_rate,0.0666
perl,gshare,1MB,bpred_addr_rate,0.9371
perl,gshare,1MB,reverse_bpred_addr_rate,0.0666
perl,gshare,256KB,bpred_addr_rate,0.9372
perl,gshare,256KB,reverse_bpred_addr_rate,0.0666
perl,gshare,32KB,bpred_addr_rate,0.9357
perl,gshare,32KB,reverse_bpred_addr_rate,0.0666
perl,gshare,512KB,bpred_addr_rate,0.9372
perl,gshare,512KB,reverse_bpred_addr_rate,0.0666
perl,gshare,64KB,bpred_addr_rate,0.9367
perl,gshare,64KB,reverse_bpred_addr_rate,0.0666
vortex,gshare,128KB,bpred_addr_rate,0.9210
vortex,gshare,128KB,divide,by,zero>
vortex,gshare,16KB,bpred_addr_rate,0.9222
vortex,gshare,16KB,divide,by,zero>
vortex,gshare,1MB,bpred_addr_rate,0.9158
vortex,gshare,1MB,divide,by,zero>
vortex,gshare,256KB,bpred_addr_rate,0.9195
vortex,gshare,256KB,divide,by,zero>
vortex,gshare,32KB,bpred_addr_rate,0.9233
vortex,gshare,32KB,divide,by,zero>
vortex,gshare,512KB,bpred_addr_rate,0.9173
vortex,gshare,512KB,divide,by,zero>
vortex,gshare,64KB,bpred_addr_rate,0.9219
vortex,gshare,64KB,divide,by,zero>
fpppp,gshare,128KB,bpred_dir_rate,0.7471
fpppp,gshare,128KB,divide,by,zero>
fpppp,gshare,16KB,bpred_dir_rate,0.7575
fpppp,gshare,16KB,divide,by,zero>
fpppp,gshare,1MB,bpred_dir_rate,0.7339
fpppp,gshare,1MB,divide,by,zero>
fpppp,gshare,256KB,bpred_dir_rate,0.7400
fpppp,gshare,256KB,divide,by,zero>
fpppp,gshare,32KB,bpred_dir_rate,0.7568
fpppp,gshare,32KB,divide,by,zero>
fpppp,gshare,512KB,bpred_dir_rate,0.7376
fpppp,gshare,512KB,divide,by,zero>
fpppp,gshare,64KB,bpred_dir_rate,0.7518
fpppp,gshare,64KB,divide,by,zero>
gcc,gshare,128KB,bpred_dir_rate,0.9203
gcc,gshare,128KB,reverse_bpred_dir_rate,1.0000
gcc,gshare,16KB,bpred_dir_rate,0.8947
gcc,gshare,16KB,reverse_bpred_dir_rate,1.0000
gcc,gshare,1MB,bpred_dir_rate,0.9269
gcc,gshare,1MB,reverse_bpred_dir_rate,1.0000
gcc,gshare,256KB,bpred_dir_rate,0.9242
gcc,gshare,256KB,reverse_bpred_dir_rate,1.0000
gcc,gshare,32KB,bpred_dir_rate,0.9041
gcc,gshare,32KB,reverse_bpred_dir_rate,1.0000
gcc,gshare,512KB,bpred_dir_rate,0.9263
gcc,gshare,512KB,reverse_bpred_dir_rate,1.0000
gcc,gshare,64KB,bpred_dir_rate,0.9137
gcc,gshare,64KB,reverse_bpred_dir_rate,1.0000
go,gshare,128KB,bpred_dir_rate,0.9258
go,gshare,128KB,reverse_bpred_dir_rate,1.0000
go,gshare,16KB,bpred_dir_rate,0.9054
go,gshare,16KB,reverse_bpred_dir_rate,1.0000
go,gshare,1MB,bpred_dir_rate,0.9274
go,gshare,1MB,reverse_bpred_dir_rate,1.0000
go,gshare,256KB,bpred_dir_rate,0.9270
go,gshare,256KB,reverse_bpred_dir_rate,1.0000
go,gshare,32KB,bpred_dir_rate,0.9146
go,gshare,32KB,reverse_bpred_dir_rate,1.0000
go,gshare,512KB,bpred_dir_rate,0.9278
go,gshare,512KB,reverse_bpred_dir_rate,1.0000
go,gshare,64KB,bpred_dir_rate,0.9214
go,gshare,64KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,128KB,bpred_dir_rate,0.9998
ijpeg,gshare,128KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,16KB,bpred_dir_rate,0.9998
ijpeg,gshare,16KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,1MB,bpred_dir_rate,0.9998
ijpeg,gshare,1MB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,256KB,bpred_dir_rate,0.9998
ijpeg,gshare,256KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,32KB,bpred_dir_rate,0.9998
ijpeg,gshare,32KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,512KB,bpred_dir_rate,0.9998
ijpeg,gshare,512KB,reverse_bpred_dir_rate,1.0000
ijpeg,gshare,64KB,bpred_dir_rate,0.9998
ijpeg,gshare,64KB,reverse_bpred_dir_rate,1.0000
li,gshare,128KB,bpred_dir_rate,0.9657
li,gshare,128KB,reverse_bpred_dir_rate,1.0000
li,gshare,16KB,bpred_dir_rate,0.9614
li,gshare,16KB,reverse_bpred_dir_rate,1.0000
li,gshare,1MB,bpred_dir_rate,0.9671
li,gshare,1MB,reverse_bpred_dir_rate,1.0000
li,gshare,256KB,bpred_dir_rate,0.9661
li,gshare,256KB,reverse_bpred_dir_rate,1.0000
li,gshare,32KB,bpred_dir_rate,0.9627
li,gshare,32KB,reverse_bpred_dir_rate,1.0000
li,gshare,512KB,bpred_dir_rate,0.9666
li,gshare,512KB,reverse_bpred_dir_rate,1.0000
li,gshare,64KB,bpred_dir_rate,0.9651
li,gshare,64KB,reverse_bpred_dir_rate,1.0000
m88ksim,gshare,128KB,bpred_dir_rate,0.9411
m88ksim,gshare,128KB,divide,by,zero>
m88ksim,gshare,16KB,bpred_dir_rate,0.9349
m88ksim,gshare,16KB,divide,by,zero>
m88ksim,gshare,1MB,bpred_dir_rate,0.9397
m88ksim,gshare,1MB,divide,by,zero>
m88ksim,gshare,256KB,bpred_dir_rate,0.9412
m88ksim,gshare,256KB,divide,by,zero>
m88ksim,gshare,32KB,bpred_dir_rate,0.9414
m88ksim,gshare,32KB,divide,by,zero>
m88ksim,gshare,512KB,bpred_dir_rate,0.9403
m88ksim,gshare,512KB,divide,by,zero>
m88ksim,gshare,64KB,bpred_dir_rate,0.9415
m88ksim,gshare,64KB,divide,by,zero>
perl,gshare,128KB,bpred_dir_rate,0.9811
perl,gshare,128KB,reverse_bpred_dir_rate,1.0000
perl,gshare,16KB,bpred_dir_rate,0.9782
perl,gshare,16KB,reverse_bpred_dir_rate,1.0000
perl,gshare,1MB,bpred_dir_rate,0.9811
perl,gshare,1MB,reverse_bpred_dir_rate,1.0000
perl,gshare,256KB,bpred_dir_rate,0.9811
perl,gshare,256KB,reverse_bpred_dir_rate,1.0000
perl,gshare,32KB,bpred_dir_rate,0.9797
perl,gshare,32KB,reverse_bpred_dir_rate,1.0000
perl,gshare,512KB,bpred_dir_rate,0.9812
perl,gshare,512KB,reverse_bpred_dir_rate,1.0000
perl,gshare,64KB,bpred_dir_rate,0.9806
perl,gshare,64KB,reverse_bpred_dir_rate,1.0000
vortex,gshare,128KB,bpred_dir_rate,0.9369
vortex,gshare,128KB,divide,by,zero>
vortex,gshare,16KB,bpred_dir_rate,0.9376
vortex,gshare,16KB,divide,by,zero>
vortex,gshare,1MB,bpred_dir_rate,0.9317
vortex,gshare,1MB,divide,by,zero>
vortex,gshare,256KB,bpred_dir_rate,0.9352
vortex,gshare,256KB,divide,by,zero>
vortex,gshare,32KB,bpred_dir_rate,0.9386
