bench,bpred,size,metric,value
fpppp,mbp,128KB,bpred_addr_rate,0.6437
fpppp,mbp,16KB,bpred_addr_rate,0.6551
fpppp,mbp,1MB,bpred_addr_rate,0.6309
fpppp,mbp,256KB,bpred_addr_rate,0.6420
fpppp,mbp,32KB,bpred_addr_rate,0.6501
fpppp,mbp,512KB,bpred_addr_rate,0.6373
fpppp,mbp,64KB,bpred_addr_rate,0.6467
gcc,mbp,128KB,bpred_addr_rate,0.8749
gcc,mbp,16KB,bpred_addr_rate,0.8536
gcc,mbp,1MB,bpred_addr_rate,0.8799
gcc,mbp,256KB,bpred_addr_rate,0.8780
gcc,mbp,32KB,bpred_addr_rate,0.8620
gcc,mbp,512KB,bpred_addr_rate,0.8800
gcc,mbp,64KB,bpred_addr_rate,0.8694
go,mbp,128KB,bpred_addr_rate,0.9009
go,mbp,16KB,bpred_addr_rate,0.8838
go,mbp,1MB,bpred_addr_rate,0.9042
go,mbp,256KB,bpred_addr_rate,0.9027
go,mbp,32KB,bpred_addr_rate,0.8929
go,mbp,512KB,bpred_addr_rate,0.9044
go,mbp,64KB,bpred_addr_rate,0.8975
ijpeg,mbp,128KB,bpred_addr_rate,0.9263
ijpeg,mbp,16KB,bpred_addr_rate,0.8809
ijpeg,mbp,1MB,bpred_addr_rate,0.9058
ijpeg,mbp,256KB,bpred_addr_rate,0.9028
ijpeg,mbp,32KB,bpred_addr_rate,0.9468
ijpeg,mbp,512KB,bpred_addr_rate,0.8748
ijpeg,mbp,64KB,bpred_addr_rate,0.9477
li,mbp,128KB,bpred_addr_rate,0.9421
li,mbp,16KB,bpred_addr_rate,0.9364
li,mbp,1MB,bpred_addr_rate,0.9428
li,mbp,256KB,bpred_addr_rate,0.9419
li,mbp,32KB,bpred_addr_rate,0.9373
li,mbp,512KB,bpred_addr_rate,0.9431
li,mbp,64KB,bpred_addr_rate,0.9404
m88ksim,mbp,128KB,bpred_addr_rate,0.9048
m88ksim,mbp,16KB,bpred_addr_rate,0.9011
m88ksim,mbp,1MB,bpred_addr_rate,0.9035
m88ksim,mbp,256KB,bpred_addr_rate,0.9052
m88ksim,mbp,32KB,bpred_addr_rate,0.9050
m88ksim,mbp,512KB,bpred_addr_rate,0.9031
m88ksim,mbp,64KB,bpred_addr_rate,0.9015
perl,mbp,128KB,bpred_addr_rate,0.9279
perl,mbp,16KB,bpred_addr_rate,0.9231
perl,mbp,1MB,bpred_addr_rate,0.9274
perl,mbp,256KB,bpred_addr_rate,0.9280
perl,mbp,32KB,bpred_addr_rate,0.9234
perl,mbp,512KB,bpred_addr_rate,0.9281
perl,mbp,64KB,bpred_addr_rate,0.9275
vortex,mbp,128KB,bpred_addr_rate,0.9083
vortex,mbp,16KB,bpred_addr_rate,0.9102
vortex,mbp,1MB,bpred_addr_rate,0.9028
vortex,mbp,256KB,bpred_addr_rate,0.9067
vortex,mbp,32KB,bpred_addr_rate,0.9111
vortex,mbp,512KB,bpred_addr_rate,0.9045
vortex,mbp,64KB,bpred_addr_rate,0.9089
fpppp,mbp,128KB,bpred_dir_rate,0.7491
fpppp,mbp,16KB,bpred_dir_rate,0.7605
fpppp,mbp,1MB,bpred_dir_rate,0.7366
fpppp,mbp,256KB,bpred_dir_rate,0.7474
fpppp,mbp,32KB,bpred_dir_rate,0.7561
fpppp,mbp,512KB,bpred_dir_rate,0.7423
fpppp,mbp,64KB,bpred_dir_rate,0.7524
gcc,mbp,128KB,bpred_dir_rate,0.9046
