bench,bpred,size,metric,value
fpppp,ob,128KB,bpred_addr_rate,0.6423
fpppp,ob,128KB,divide,by,zero>
fpppp,ob,16KB,bpred_addr_rate,0.6527
fpppp,ob,16KB,divide,by,zero>
fpppp,ob,1MB,bpred_addr_rate,0.6285
fpppp,ob,1MB,divide,by,zero>
fpppp,ob,256KB,bpred_addr_rate,0.6352
fpppp,ob,256KB,divide,by,zero>
fpppp,ob,32KB,bpred_addr_rate,0.6514
fpppp,ob,32KB,divide,by,zero>
fpppp,ob,512KB,bpred_addr_rate,0.6329
fpppp,ob,512KB,divide,by,zero>
fpppp,ob,64KB,bpred_addr_rate,0.6467
fpppp,ob,64KB,divide,by,zero>
gcc,ob,128KB,bpred_addr_rate,0.8907
gcc,ob,128KB,reverse_bpred_addr_rate,0.0583
gcc,ob,16KB,bpred_addr_rate,0.8659
gcc,ob,16KB,reverse_bpred_addr_rate,0.0583
gcc,ob,1MB,bpred_addr_rate,0.8970
gcc,ob,1MB,reverse_bpred_addr_rate,0.0583
gcc,ob,256KB,bpred_addr_rate,0.8944
gcc,ob,256KB,reverse_bpred_addr_rate,0.0583
gcc,ob,32KB,bpred_addr_rate,0.8750
gcc,ob,32KB,reverse_bpred_addr_rate,0.0583
gcc,ob,512KB,bpred_addr_rate,0.8964
gcc,ob,512KB,reverse_bpred_addr_rate,0.0583
gcc,ob,64KB,bpred_addr_rate,0.8843
gcc,ob,64KB,reverse_bpred_addr_rate,0.0583
go,ob,128KB,bpred_addr_rate,0.9217
go,ob,128KB,reverse_bpred_addr_rate,0.1032
go,ob,16KB,bpred_addr_rate,0.9011
go,ob,16KB,reverse_bpred_addr_rate,0.1032
go,ob,1MB,bpred_addr_rate,0.9233
go,ob,1MB,reverse_bpred_addr_rate,0.1032
go,ob,256KB,bpred_addr_rate,0.9229
go,ob,256KB,reverse_bpred_addr_rate,0.1032
go,ob,32KB,bpred_addr_rate,0.9104
go,ob,32KB,reverse_bpred_addr_rate,0.1032
go,ob,512KB,bpred_addr_rate,0.9238
go,ob,512KB,reverse_bpred_addr_rate,0.1032
go,ob,64KB,bpred_addr_rate,0.9172
go,ob,64KB,reverse_bpred_addr_rate,0.1032
ijpeg,ob,128KB,bpred_addr_rate,0.9998
ijpeg,ob,128KB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,16KB,bpred_addr_rate,0.9998
ijpeg,ob,16KB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,1MB,bpred_addr_rate,0.9998
ijpeg,ob,1MB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,256KB,bpred_addr_rate,0.9998
ijpeg,ob,256KB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,32KB,bpred_addr_rate,0.9998
ijpeg,ob,32KB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,512KB,bpred_addr_rate,0.9998
ijpeg,ob,512KB,reverse_bpred_addr_rate,0.0000
ijpeg,ob,64KB,bpred_addr_rate,0.9998
ijpeg,ob,64KB,reverse_bpred_addr_rate,0.0000
li,ob,128KB,bpred_addr_rate,0.9517
li,ob,128KB,reverse_bpred_addr_rate,0.0850
li,ob,16KB,bpred_addr_rate,0.9469
li,ob,16KB,reverse_bpred_addr_rate,0.0850
li,ob,1MB,bpred_addr_rate,0.9530
li,ob,1MB,reverse_bpred_addr_rate,0.0850
li,ob,256KB,bpred_addr_rate,0.9519
li,ob,256KB,reverse_bpred_addr_rate,0.0850
li,ob,32KB,bpred_addr_rate,0.9485
li,ob,32KB,reverse_bpred_addr_rate,0.0850
li,ob,512KB,bpred_addr_rate,0.9525
li,ob,512KB,reverse_bpred_addr_rate,0.0850
li,ob,64KB,bpred_addr_rate,0.9512
li,ob,64KB,reverse_bpred_addr_rate,0.0850
m88ksim,ob,128KB,bpred_addr_rate,0.9319
m88ksim,ob,128KB,divide,by,zero>
m88ksim,ob,16KB,bpred_addr_rate,0.9259
m88ksim,ob,16KB,divide,by,zero>
m88ksim,ob,1MB,bpred_addr_rate,0.9309
m88ksim,ob,1MB,divide,by,zero>
m88ksim,ob,256KB,bpred_addr_rate,0.9319
m88ksim,ob,256KB,divide,by,zero>
m88ksim,ob,32KB,bpred_addr_rate,0.9324
m88ksim,ob,32KB,divide,by,zero>
m88ksim,ob,512KB,bpred_addr_rate,0.9308
m88ksim,ob,512KB,divide,by,zero>
m88ksim,ob,64KB,bpred_addr_rate,0.9325
m88ksim,ob,64KB,divide,by,zero>
perl,ob,128KB,bpred_addr_rate,0.9372
perl,ob,128KB,reverse_bpred_addr_rate,0.0666
perl,ob,16KB,bpred_addr_rate,0.9343
perl,ob,16KB,reverse_bpred_addr_rate,0.0666
perl,ob,1MB,bpred_addr_rate,0.9371
perl,ob,1MB,reverse_bpred_addr_rate,0.0666
perl,ob,256KB,bpred_addr_rate,0.9372
perl,ob,256KB,reverse_bpred_addr_rate,0.0666
perl,ob,32KB,bpred_addr_rate,0.9357
perl,ob,32KB,reverse_bpred_addr_rate,0.0666
perl,ob,512KB,bpred_addr_rate,0.9372
perl,ob,512KB,reverse_bpred_addr_rate,0.0666
perl,ob,64KB,bpred_addr_rate,0.9367
perl,ob,64KB,reverse_bpred_addr_rate,0.0666
vortex,ob,128KB,bpred_addr_rate,0.9210
vortex,ob,128KB,divide,by,zero>
vortex,ob,16KB,bpred_addr_rate,0.9222
vortex,ob,16KB,divide,by,zero>
vortex,ob,1MB,bpred_addr_rate,0.9158
vortex,ob,1MB,divide,by,zero>
vortex,ob,256KB,bpred_addr_rate,0.9195
vortex,ob,256KB,divide,by,zero>
vortex,ob,32KB,bpred_addr_rate,0.9233
vortex,ob,32KB,divide,by,zero>
vortex,ob,512KB,bpred_addr_rate,0.9173
vortex,ob,512KB,divide,by,zero>
vortex,ob,64KB,bpred_addr_rate,0.9219
vortex,ob,64KB,divide,by,zero>
fpppp,ob,128KB,bpred_dir_rate,0.7471
fpppp,ob,128KB,divide,by,zero>
fpppp,ob,16KB,bpred_dir_rate,0.7575
fpppp,ob,16KB,divide,by,zero>
fpppp,ob,1MB,bpred_dir_rate,0.7339
