bench,bpred,size,metric,value
fpppp,tsbp,128KB,bpred_addr_rate,0.5083
fpppp,tsbp,16KB,bpred_addr_rate,0.4840
fpppp,tsbp,1MB,bpred_addr_rate,0.4948
fpppp,tsbp,256KB,bpred_addr_rate,0.5015
fpppp,tsbp,32KB,bpred_addr_rate,0.5099
fpppp,tsbp,512KB,bpred_addr_rate,0.4968
fpppp,tsbp,64KB,bpred_addr_rate,0.5059
gcc,tsbp,128KB,bpred_addr_rate,0.8600
gcc,tsbp,16KB,bpred_addr_rate,0.8334
gcc,tsbp,1MB,bpred_addr_rate,0.8677
gcc,tsbp,256KB,bpred_addr_rate,0.8640
gcc,tsbp,32KB,bpred_addr_rate,0.8439
gcc,tsbp,512KB,bpred_addr_rate,0.8669
gcc,tsbp,64KB,bpred_addr_rate,0.8527
go,tsbp,128KB,bpred_addr_rate,0.8760
go,tsbp,16KB,bpred_addr_rate,0.8463
go,tsbp,1MB,bpred_addr_rate,0.8812
go,tsbp,256KB,bpred_addr_rate,0.8785
go,tsbp,32KB,bpred_addr_rate,0.8591
go,tsbp,512KB,bpred_addr_rate,0.8805
go,tsbp,64KB,bpred_addr_rate,0.8695
ijpeg,tsbp,128KB,bpred_addr_rate,0.9995
ijpeg,tsbp,16KB,bpred_addr_rate,0.9995
ijpeg,tsbp,1MB,bpred_addr_rate,0.9995
ijpeg,tsbp,256KB,bpred_addr_rate,0.9995
ijpeg,tsbp,32KB,bpred_addr_rate,0.9995
ijpeg,tsbp,512KB,bpred_addr_rate,0.9995
ijpeg,tsbp,64KB,bpred_addr_rate,0.9995
li,tsbp,128KB,bpred_addr_rate,0.9194
li,tsbp,16KB,bpred_addr_rate,0.9109
li,tsbp,1MB,bpred_addr_rate,0.9240
li,tsbp,256KB,bpred_addr_rate,0.9206
li,tsbp,32KB,bpred_addr_rate,0.9137
li,tsbp,512KB,bpred_addr_rate,0.9225
li,tsbp,64KB,bpred_addr_rate,0.9181
m88ksim,tsbp,128KB,bpred_addr_rate,0.8851
m88ksim,tsbp,16KB,bpred_addr_rate,0.8871
m88ksim,tsbp,1MB,bpred_addr_rate,0.8925
m88ksim,tsbp,256KB,bpred_addr_rate,0.8887
m88ksim,tsbp,32KB,bpred_addr_rate,0.8893
m88ksim,tsbp,512KB,bpred_addr_rate,0.8849
m88ksim,tsbp,64KB,bpred_addr_rate,0.8946
perl,tsbp,128KB,bpred_addr_rate,0.9250
perl,tsbp,16KB,bpred_addr_rate,0.9218
perl,tsbp,1MB,bpred_addr_rate,0.9258
perl,tsbp,256KB,bpred_addr_rate,0.9247
perl,tsbp,32KB,bpred_addr_rate,0.9255
perl,tsbp,512KB,bpred_addr_rate,0.9258
perl,tsbp,64KB,bpred_addr_rate,0.9262
vortex,tsbp,128KB,bpred_addr_rate,0.8662
vortex,tsbp,16KB,bpred_addr_rate,0.8185
vortex,tsbp,1MB,bpred_addr_rate,0.8654
vortex,tsbp,256KB,bpred_addr_rate,0.8729
vortex,tsbp,32KB,bpred_addr_rate,0.8716
vortex,tsbp,512KB,bpred_addr_rate,0.8653
vortex,tsbp,64KB,bpred_addr_rate,0.8691
fpppp,tsbp,128KB,bpred_dir_rate,0.6150
fpppp,tsbp,16KB,bpred_dir_rate,0.5901
fpppp,tsbp,1MB,bpred_dir_rate,0.6022
fpppp,tsbp,256KB,bpred_dir_rate,0.6079
fpppp,tsbp,32KB,bpred_dir_rate,0.6170
fpppp,tsbp,512KB,bpred_dir_rate,0.6032
fpppp,tsbp,64KB,bpred_dir_rate,0.6130
gcc,tsbp,128KB,bpred_dir_rate,0.8896
gcc,tsbp,16KB,bpred_dir_rate,0.8622
gcc,tsbp,1MB,bpred_dir_rate,0.8977
gcc,tsbp,256KB,bpred_dir_rate,0.8938
gcc,tsbp,32KB,bpred_dir_rate,0.8730
gcc,tsbp,512KB,bpred_dir_rate,0.8968
gcc,tsbp,64KB,bpred_dir_rate,0.8821
go,tsbp,128KB,bpred_dir_rate,0.8803
go,tsbp,16KB,bpred_dir_rate,0.8508
go,tsbp,1MB,bpred_dir_rate,0.8854
go,tsbp,256KB,bpred_dir_rate,0.8827
go,tsbp,32KB,bpred_dir_rate,0.8636
go,tsbp,512KB,bpred_dir_rate,0.8848
go,tsbp,64KB,bpred_dir_rate,0.8739
ijpeg,tsbp,128KB,bpred_dir_rate,0.9996
ijpeg,tsbp,16KB,bpred_dir_rate,0.9996
ijpeg,tsbp,1MB,bpred_dir_rate,0.9996
ijpeg,tsbp,256KB,bpred_dir_rate,0.9996
ijpeg,tsbp,32KB,bpred_dir_rate,0.9996
ijpeg,tsbp,512KB,bpred_dir_rate,0.9996
ijpeg,tsbp,64KB,bpred_dir_rate,0.9996
li,tsbp,128KB,bpred_dir_rate,0.9366
li,tsbp,16KB,bpred_dir_rate,0.9288
li,tsbp,1MB,bpred_dir_rate,0.9411
li,tsbp,256KB,bpred_dir_rate,0.9380
li,tsbp,32KB,bpred_dir_rate,0.9314
li,tsbp,512KB,bpred_dir_rate,0.9397
li,tsbp,64KB,bpred_dir_rate,0.9356
m88ksim,tsbp,128KB,bpred_dir_rate,0.8956
m88ksim,tsbp,16KB,bpred_dir_rate,0.8976
m88ksim,tsbp,1MB,bpred_dir_rate,0.9032
m88ksim,tsbp,256KB,bpred_dir_rate,0.8995
m88ksim,tsbp,32KB,bpred_dir_rate,0.8999
m88ksim,tsbp,512KB,bpred_dir_rate,0.8958
m88ksim,tsbp,64KB,bpred_dir_rate,0.9051
perl,tsbp,128KB,bpred_dir_rate,0.9689
perl,tsbp,16KB,bpred_dir_rate,0.9658
perl,tsbp,1MB,bpred_dir_rate,0.9697
perl,tsbp,256KB,bpred_dir_rate,0.9687
perl,tsbp,32KB,bpred_dir_rate,0.9694
perl,tsbp,512KB,bpred_dir_rate,0.9697
perl,tsbp,64KB,bpred_dir_rate,0.9702
vortex,tsbp,128KB,bpred_dir_rate,0.8833
vortex,tsbp,16KB,bpred_dir_rate,0.8356
vortex,tsbp,1MB,bpred_dir_rate,0.8825
vortex,tsbp,256KB,bpred_dir_rate,0.8902
vortex,tsbp,32KB,bpred_dir_rate,0.8885
vortex,tsbp,512KB,bpred_dir_rate,0.8828
vortex,tsbp,64KB,bpred_dir_rate,0.8864
fpppp,tsbp,128KB,bpred_jr_rate,0.8009
fpppp,tsbp,16KB,bpred_jr_rate,0.8009
fpppp,tsbp,1MB,bpred_jr_rate,0.8056
fpppp,tsbp,256KB,bpred_jr_rate,0.8009
fpppp,tsbp,32KB,bpred_jr_rate,0.8009
fpppp,tsbp,512KB,bpred_jr_rate,0.8009
fpppp,tsbp,64KB,bpred_jr_rate,0.8009
gcc,tsbp,128KB,bpred_jr_rate,0.7703
gcc,tsbp,16KB,bpred_jr_rate,0.7690
gcc,tsbp,1MB,bpred_jr_rate,0.7705
gcc,tsbp,256KB,bpred_jr_rate,0.7710
gcc,tsbp,32KB,bpred_jr_rate,0.7694
gcc,tsbp,512KB,bpred_jr_rate,0.7708
gcc,tsbp,64KB,bpred_jr_rate,0.7701
go,tsbp,128KB,bpred_jr_rate,0.9297
go,tsbp,16KB,bpred_jr_rate,0.9245
go,tsbp,1MB,bpred_jr_rate,0.9317
go,tsbp,256KB,bpred_jr_rate,0.9309
go,tsbp,32KB,bpred_jr_rate,0.9267
go,tsbp,512KB,bpred_jr_rate,0.9314
go,tsbp,64KB,bpred_jr_rate,0.9290
ijpeg,tsbp,128KB,bpred_jr_rate,1.0000
ijpeg,tsbp,16KB,bpred_jr_rate,1.0000
ijpeg,tsbp,1MB,bpred_jr_rate,1.0000
ijpeg,tsbp,256KB,bpred_jr_rate,1.0000
ijpeg,tsbp,32KB,bpred_jr_rate,1.0000
