bench,bpred,size,metric,value
fpppp,tsbp_disabled,128KB,bpred_addr_rate,0.6423
fpppp,tsbp_disabled,16KB,bpred_addr_rate,0.6527
fpppp,tsbp_disabled,1MB,bpred_addr_rate,0.6285
fpppp,tsbp_disabled,256KB,bpred_addr_rate,0.6352
fpppp,tsbp_disabled,32KB,bpred_addr_rate,0.6514
fpppp,tsbp_disabled,512KB,bpred_addr_rate,0.6329
fpppp,tsbp_disabled,64KB,bpred_addr_rate,0.6467
gcc,tsbp_disabled,128KB,bpred_addr_rate,0.8907
gcc,tsbp_disabled,16KB,bpred_addr_rate,0.8659
gcc,tsbp_disabled,1MB,bpred_addr_rate,0.8970
gcc,tsbp_disabled,256KB,bpred_addr_rate,0.8944
gcc,tsbp_disabled,32KB,bpred_addr_rate,0.8750
gcc,tsbp_disabled,512KB,bpred_addr_rate,0.8964
gcc,tsbp_disabled,64KB,bpred_addr_rate,0.8843
go,tsbp_disabled,128KB,bpred_addr_rate,0.9217
go,tsbp_disabled,16KB,bpred_addr_rate,0.9011
go,tsbp_disabled,1MB,bpred_addr_rate,0.9233
go,tsbp_disabled,256KB,bpred_addr_rate,0.9229
go,tsbp_disabled,32KB,bpred_addr_rate,0.9104
go,tsbp_disabled,512KB,bpred_addr_rate,0.9238
go,tsbp_disabled,64KB,bpred_addr_rate,0.9172
ijpeg,tsbp_disabled,128KB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,16KB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,1MB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,256KB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,32KB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,512KB,bpred_addr_rate,0.9998
ijpeg,tsbp_disabled,64KB,bpred_addr_rate,0.9998
li,tsbp_disabled,128KB,bpred_addr_rate,0.9517
li,tsbp_disabled,16KB,bpred_addr_rate,0.9469
li,tsbp_disabled,1MB,bpred_addr_rate,0.9530
li,tsbp_disabled,256KB,bpred_addr_rate,0.9519
li,tsbp_disabled,32KB,bpred_addr_rate,0.9485
li,tsbp_disabled,512KB,bpred_addr_rate,0.9525
li,tsbp_disabled,64KB,bpred_addr_rate,0.9512
m88ksim,tsbp_disabled,128KB,bpred_addr_rate,0.9319
m88ksim,tsbp_disabled,16KB,bpred_addr_rate,0.9259
m88ksim,tsbp_disabled,1MB,bpred_addr_rate,0.9309
m88ksim,tsbp_disabled,256KB,bpred_addr_rate,0.9320
m88ksim,tsbp_disabled,32KB,bpred_addr_rate,0.9324
m88ksim,tsbp_disabled,512KB,bpred_addr_rate,0.9309
m88ksim,tsbp_disabled,64KB,bpred_addr_rate,0.9325
perl,tsbp_disabled,128KB,bpred_addr_rate,0.9372
perl,tsbp_disabled,16KB,bpred_addr_rate,0.9343
perl,tsbp_disabled,1MB,bpred_addr_rate,0.9371
perl,tsbp_disabled,256KB,bpred_addr_rate,0.9372
perl,tsbp_disabled,32KB,bpred_addr_rate,0.9357
perl,tsbp_disabled,512KB,bpred_addr_rate,0.9372
perl,tsbp_disabled,64KB,bpred_addr_rate,0.9367
vortex,tsbp_disabled,128KB,bpred_addr_rate,0.9210
vortex,tsbp_disabled,16KB,bpred_addr_rate,0.9222
vortex,tsbp_disabled,1MB,bpred_addr_rate,0.9158
vortex,tsbp_disabled,256KB,bpred_addr_rate,0.9195
vortex,tsbp_disabled,32KB,bpred_addr_rate,0.9233
vortex,tsbp_disabled,512KB,bpred_addr_rate,0.9173
vortex,tsbp_disabled,64KB,bpred_addr_rate,0.9219
fpppp,tsbp_disabled,128KB,bpred_dir_rate,0.7471
fpppp,tsbp_disabled,16KB,bpred_dir_rate,0.7575
fpppp,tsbp_disabled,1MB,bpred_dir_rate,0.7339
fpppp,tsbp_disabled,256KB,bpred_dir_rate,0.7400
fpppp,tsbp_disabled,32KB,bpred_dir_rate,0.7568
fpppp,tsbp_disabled,512KB,bpred_dir_rate,0.7376
fpppp,tsbp_disabled,64KB,bpred_dir_rate,0.7518
gcc,tsbp_disabled,128KB,bpred_dir_rate,0.9203
gcc,tsbp_disabled,16KB,bpred_dir_rate,0.8947
gcc,tsbp_disabled,1MB,bpred_dir_rate,0.9269
gcc,tsbp_disabled,256KB,bpred_dir_rate,0.9242
gcc,tsbp_disabled,32KB,bpred_dir_rate,0.9041
gcc,tsbp_disabled,512KB,bpred_dir_rate,0.9263
gcc,tsbp_disabled,64KB,bpred_dir_rate,0.9137
go,tsbp_disabled,128KB,bpred_dir_rate,0.9258
go,tsbp_disabled,16KB,bpred_dir_rate,0.9054
go,tsbp_disabled,1MB,bpred_dir_rate,0.9274
go,tsbp_disabled,256KB,bpred_dir_rate,0.9270
go,tsbp_disabled,32KB,bpred_dir_rate,0.9146
go,tsbp_disabled,512KB,bpred_dir_rate,0.9278
go,tsbp_disabled,64KB,bpred_dir_rate,0.9214
ijpeg,tsbp_disabled,128KB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,16KB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,1MB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,256KB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,32KB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,512KB,bpred_dir_rate,0.9998
ijpeg,tsbp_disabled,64KB,bpred_dir_rate,0.9998
li,tsbp_disabled,128KB,bpred_dir_rate,0.9657
li,tsbp_disabled,16KB,bpred_dir_rate,0.9614
li,tsbp_disabled,1MB,bpred_dir_rate,0.9671
li,tsbp_disabled,256KB,bpred_dir_rate,0.9661
li,tsbp_disabled,32KB,bpred_dir_rate,0.9627
li,tsbp_disabled,512KB,bpred_dir_rate,0.9666
li,tsbp_disabled,64KB,bpred_dir_rate,0.9651
m88ksim,tsbp_disabled,128KB,bpred_dir_rate,0.9411
m88ksim,tsbp_disabled,16KB,bpred_dir_rate,0.9349
m88ksim,tsbp_disabled,1MB,bpred_dir_rate,0.9398
m88ksim,tsbp_disabled,256KB,bpred_dir_rate,0.9412
m88ksim,tsbp_disabled,32KB,bpred_dir_rate,0.9414
m88ksim,tsbp_disabled,512KB,bpred_dir_rate,0.9403
m88ksim,tsbp_disabled,64KB,bpred_dir_rate,0.9415
perl,tsbp_disabled,128KB,bpred_dir_rate,0.9811
perl,tsbp_disabled,16KB,bpred_dir_rate,0.9782
perl,tsbp_disabled,1MB,bpred_dir_rate,0.9811
perl,tsbp_disabled,256KB,bpred_dir_rate,0.9811
perl,tsbp_disabled,32KB,bpred_dir_rate,0.9797
perl,tsbp_disabled,512KB,bpred_dir_rate,0.9812
perl,tsbp_disabled,64KB,bpred_dir_rate,0.9806
vortex,tsbp_disabled,128KB,bpred_dir_rate,0.9369
vortex,tsbp_disabled,16KB,bpred_dir_rate,0.9376
vortex,tsbp_disabled,1MB,bpred_dir_rate,0.9317
vortex,tsbp_disabled,256KB,bpred_dir_rate,0.9352
vortex,tsbp_disabled,32KB,bpred_dir_rate,0.9386
vortex,tsbp_disabled,512KB,bpred_dir_rate,0.9334
vortex,tsbp_disabled,64KB,bpred_dir_rate,0.9374
fpppp,tsbp_disabled,128KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,16KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,1MB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,256KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,32KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,512KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,64KB,bpred_jr_rate,0.8148
gcc,tsbp_disabled,128KB,bpred_jr_rate,0.7738
gcc,tsbp_disabled,16KB,bpred_jr_rate,0.7714
