bench,bpred,size,metric,value
fpppp,tsbp_init_1s,128KB,bpred_addr_rate,0.6494
fpppp,tsbp_init_1s,16KB,bpred_addr_rate,0.6696
fpppp,tsbp_init_1s,1MB,bpred_addr_rate,0.6335
fpppp,tsbp_init_1s,256KB,bpred_addr_rate,0.6625
fpppp,tsbp_init_1s,32KB,bpred_addr_rate,0.6662
fpppp,tsbp_init_1s,512KB,bpred_addr_rate,0.6554
fpppp,tsbp_init_1s,64KB,bpred_addr_rate,0.6652
gcc,tsbp_init_1s,128KB,bpred_addr_rate,0.8715
gcc,tsbp_init_1s,16KB,bpred_addr_rate,0.8359
gcc,tsbp_init_1s,1MB,bpred_addr_rate,0.8754
gcc,tsbp_init_1s,256KB,bpred_addr_rate,0.8755
gcc,tsbp_init_1s,32KB,bpred_addr_rate,0.8466
gcc,tsbp_init_1s,512KB,bpred_addr_rate,0.8817
gcc,tsbp_init_1s,64KB,bpred_addr_rate,0.8633
go,tsbp_init_1s,128KB,bpred_addr_rate,0.8936
go,tsbp_init_1s,16KB,bpred_addr_rate,0.8664
go,tsbp_init_1s,1MB,bpred_addr_rate,0.8859
go,tsbp_init_1s,256KB,bpred_addr_rate,0.8970
go,tsbp_init_1s,32KB,bpred_addr_rate,0.8787
go,tsbp_init_1s,512KB,bpred_addr_rate,0.8987
go,tsbp_init_1s,64KB,bpred_addr_rate,0.8882
ijpeg,tsbp_init_1s,128KB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,16KB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,1MB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,256KB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,32KB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,512KB,bpred_addr_rate,0.9997
ijpeg,tsbp_init_1s,64KB,bpred_addr_rate,0.9997
li,tsbp_init_1s,128KB,bpred_addr_rate,0.9329
li,tsbp_init_1s,16KB,bpred_addr_rate,0.9304
li,tsbp_init_1s,1MB,bpred_addr_rate,0.9292
li,tsbp_init_1s,256KB,bpred_addr_rate,0.9389
li,tsbp_init_1s,32KB,bpred_addr_rate,0.9331
li,tsbp_init_1s,512KB,bpred_addr_rate,0.9398
li,tsbp_init_1s,64KB,bpred_addr_rate,0.9375
m88ksim,tsbp_init_1s,128KB,bpred_addr_rate,0.9046
m88ksim,tsbp_init_1s,16KB,bpred_addr_rate,0.8965
m88ksim,tsbp_init_1s,1MB,bpred_addr_rate,0.9017
m88ksim,tsbp_init_1s,256KB,bpred_addr_rate,0.9053
m88ksim,tsbp_init_1s,32KB,bpred_addr_rate,0.9030
m88ksim,tsbp_init_1s,512KB,bpred_addr_rate,0.8926
m88ksim,tsbp_init_1s,64KB,bpred_addr_rate,0.9057
perl,tsbp_init_1s,128KB,bpred_addr_rate,0.9297
perl,tsbp_init_1s,16KB,bpred_addr_rate,0.9264
perl,tsbp_init_1s,1MB,bpred_addr_rate,0.9287
perl,tsbp_init_1s,256KB,bpred_addr_rate,0.9299
perl,tsbp_init_1s,32KB,bpred_addr_rate,0.9282
perl,tsbp_init_1s,512KB,bpred_addr_rate,0.9300
perl,tsbp_init_1s,64KB,bpred_addr_rate,0.9290
vortex,tsbp_init_1s,128KB,bpred_addr_rate,0.9067
vortex,tsbp_init_1s,16KB,bpred_addr_rate,0.9041
vortex,tsbp_init_1s,1MB,bpred_addr_rate,0.8906
vortex,tsbp_init_1s,256KB,bpred_addr_rate,0.9039
vortex,tsbp_init_1s,32KB,bpred_addr_rate,0.9054
vortex,tsbp_init_1s,512KB,bpred_addr_rate,0.9029
vortex,tsbp_init_1s,64KB,bpred_addr_rate,0.9074
fpppp,tsbp_init_1s,128KB,bpred_dir_rate,0.7565
fpppp,tsbp_init_1s,16KB,bpred_dir_rate,0.7716
fpppp,tsbp_init_1s,1MB,bpred_dir_rate,0.7380
fpppp,tsbp_init_1s,256KB,bpred_dir_rate,0.7666
fpppp,tsbp_init_1s,32KB,bpred_dir_rate,0.7689
fpppp,tsbp_init_1s,512KB,bpred_dir_rate,0.7595
fpppp,tsbp_init_1s,64KB,bpred_dir_rate,0.7700
gcc,tsbp_init_1s,128KB,bpred_dir_rate,0.9011
gcc,tsbp_init_1s,16KB,bpred_dir_rate,0.8649
gcc,tsbp_init_1s,1MB,bpred_dir_rate,0.9055
gcc,tsbp_init_1s,256KB,bpred_dir_rate,0.9053
gcc,tsbp_init_1s,32KB,bpred_dir_rate,0.8758
gcc,tsbp_init_1s,512KB,bpred_dir_rate,0.9117
gcc,tsbp_init_1s,64KB,bpred_dir_rate,0.8928
go,tsbp_init_1s,128KB,bpred_dir_rate,0.8978
go,tsbp_init_1s,16KB,bpred_dir_rate,0.8710
go,tsbp_init_1s,1MB,bpred_dir_rate,0.8902
go,tsbp_init_1s,256KB,bpred_dir_rate,0.9011
go,tsbp_init_1s,32KB,bpred_dir_rate,0.8831
go,tsbp_init_1s,512KB,bpred_dir_rate,0.9029
go,tsbp_init_1s,64KB,bpred_dir_rate,0.8924
ijpeg,tsbp_init_1s,128KB,bpred_dir_rate,0.9998
ijpeg,tsbp_init_1s,16KB,bpred_dir_rate,0.9998
ijpeg,tsbp_init_1s,1MB,bpred_dir_rate,0.9997
ijpeg,tsbp_init_1s,256KB,bpred_dir_rate,0.9998
ijpeg,tsbp_init_1s,32KB,bpred_dir_rate,0.9998
ijpeg,tsbp_init_1s,512KB,bpred_dir_rate,0.9998
ijpeg,tsbp_init_1s,64KB,bpred_dir_rate,0.9998
li,tsbp_init_1s,128KB,bpred_dir_rate,0.9502
li,tsbp_init_1s,16KB,bpred_dir_rate,0.9459
li,tsbp_init_1s,1MB,bpred_dir_rate,0.9462
li,tsbp_init_1s,256KB,bpred_dir_rate,0.9537
li,tsbp_init_1s,32KB,bpred_dir_rate,0.9483
li,tsbp_init_1s,512KB,bpred_dir_rate,0.9549
li,tsbp_init_1s,64KB,bpred_dir_rate,0.9521
m88ksim,tsbp_init_1s,128KB,bpred_dir_rate,0.9142
m88ksim,tsbp_init_1s,16KB,bpred_dir_rate,0.9070
m88ksim,tsbp_init_1s,1MB,bpred_dir_rate,0.9123
m88ksim,tsbp_init_1s,256KB,bpred_dir_rate,0.9151
m88ksim,tsbp_init_1s,32KB,bpred_dir_rate,0.9127
m88ksim,tsbp_init_1s,512KB,bpred_dir_rate,0.9041
m88ksim,tsbp_init_1s,64KB,bpred_dir_rate,0.9154
perl,tsbp_init_1s,128KB,bpred_dir_rate,0.9737
perl,tsbp_init_1s,16KB,bpred_dir_rate,0.9703
perl,tsbp_init_1s,1MB,bpred_dir_rate,0.9726
perl,tsbp_init_1s,256KB,bpred_dir_rate,0.9739
perl,tsbp_init_1s,32KB,bpred_dir_rate,0.9721
perl,tsbp_init_1s,512KB,bpred_dir_rate,0.9739
perl,tsbp_init_1s,64KB,bpred_dir_rate,0.9729
vortex,tsbp_init_1s,128KB,bpred_dir_rate,0.9225
vortex,tsbp_init_1s,16KB,bpred_dir_rate,0.9213
vortex,tsbp_init_1s,1MB,bpred_dir_rate,0.9072
vortex,tsbp_init_1s,256KB,bpred_dir_rate,0.9204
vortex,tsbp_init_1s,32KB,bpred_dir_rate,0.9219
vortex,tsbp_init_1s,512KB,bpred_dir_rate,0.9198
vortex,tsbp_init_1s,64KB,bpred_dir_rate,0.9231
fpppp,tsbp_init_1s,128KB,bpred_jr_rate,0.7963
fpppp,tsbp_init_1s,16KB,bpred_jr_rate,0.8333
fpppp,tsbp_init_1s,1MB,bpred_jr_rate,0.8241
fpppp,tsbp_init_1s,256KB,bpred_jr_rate,0.8009
fpppp,tsbp_init_1s,32KB,bpred_jr_rate,0.8333
fpppp,tsbp_init_1s,512KB,bpred_jr_rate,0.8009
fpppp,tsbp_init_1s,64KB,bpred_jr_rate,0.8009
gcc,tsbp_init_1s,128KB,bpred_jr_rate,0.7702
gcc,tsbp_init_1s,16KB,bpred_jr_rate,0.7680
gcc,tsbp_init_1s,1MB,bpred_jr_rate,0.7705
gcc,tsbp_init_1s,256KB,bpred_jr_rate,0.7711
gcc,tsbp_init_1s,32KB,bpred_jr_rate,0.7690
gcc,tsbp_init_1s,512KB,bpred_jr_rate,0.7707
